회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
현대사료,016790,동물용 사료 및 조제식품 제조업,"양계, 양돈 배합사료",6/1/2018,12월,김 종 웅,http://www.hdfeed.co.kr,충청남도
세종메디칼,258830,의료용 기기 제조업,복강경수술용 투관침 등,5/29/2018,12월,이재철,http://www.sejongmedical.com,경기도
제노레이,122310,의료용 기기 제조업,의료용 방사선 진단기기,5/28/2018,12월,박병욱,http://www.genoray.com,경기도
디피코,163430,자동차 차체 및 트레일러 제조업,"전기화물자동차, 자동차 엔지니어링 서비스, 의료용전동스쿠터 등",5/16/2018,12월,송신근,http://www.dpeco.com,강원도
제이시스메디칼,287410,의료용 기기 제조업,미용의료기기,5/8/2018,12월,강동환,http://www.jeisys.com/,서울특별시
에스제이켐,217910,기초 화학물질 제조업,"수처리응집제, 폴리프로필렌",4/27/2018,12월,배동수,http://www.sj-chem.com/,전라북도
JTC,950170,종합 소매업,"식품류, 생활용품류, 화장품류 (사후면세업)",4/6/2018,02월,구철모,http://www.groupjtc.com/korean/,일본
네오셈,253590,특수 목적용 기계 제조업,반도체 검사장비,4/4/2018,12월,염동현,http://www.neosem.com,경기도
케어랩스,263700,소프트웨어 개발 및 공급업,"헬스케어 미디어플랫폼, 헬스케어 디지털마케팅, 헬스케어 솔루션",3/28/2018,12월,박경득,http://carelabs.co.kr,서울특별시
애경산업,018250,기타 화학제품 제조업,"Age 20's,루나, 트리오, 2080치약, 순샘, 제트 등",3/22/2018,12월,"채동석, 임재영",http://www.aekyung.co.kr,서울특별시
유네코,064510,특수 목적용 기계 제조업,SAP,3/15/2018,12월,박동필,http://www.ecomaister.com/,인천광역시
린드먼아시아,277070,신탁업 및 집합투자업,"투자조합, PEF 결성 및 투자",3/14/2018,12월,김진하,http://www.laic.kr,서울특별시
오스테오닉,226400,의료용 기기 제조업,골접합 및 재건용 금속소재 및 생체복합재료 기반 임플란트,2/22/2018,12월,이동원,http://www.osteonic.com,서울특별시
엔지켐생명과학,183490,기초 의약물질 및 생물학적 제제 제조업,"EC-18(신약), 원료의약품",2/21/2018,12월,손기영,http://www.enzychem.co.kr,충청북도
동구바이오제약,006620,의약품 제조업,"피부, 비뇨기과 완제의약품",2/13/2018,12월,조용준,http://www.dongkoo.com,서울특별시
아시아종묘,154030,작물 재배업,종자,2/12/2018,09월,류경오,http://www.asiaseed.co.kr,서울특별시
알리코제약,260660,의료용품 및 기타 의약 관련제품 제조업,완제 의약품,2/12/2018,12월,이항구,http://www.arlico.co.kr,서울특별시
셀트리온,068270,기초 의약물질 및 생물학적 제제 제조업,"램시마, 트룩시마, 허쥬마",2/9/2018,12월,기우성,http://www.celltrion.com,인천광역시
카페24,042000,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","쇼핑몰솔루션, 광고솔루션, 호스팅솔루션",2/8/2018,12월,이재석,http://www.cafe24.com,서울특별시
링크제니시스,219420,소프트웨어 개발 및 공급업,"반도체, 디스플레이, 자동화 S/W 및 시스템 테스트 자동화 솔루션 개발(XCOMPRO, XGEM, MAT)",2/5/2018,12월,정성우,http://www.linkgenesis.co.kr,경기도
배럴,267790,봉제의복 제조업,래쉬가드 및 워터스포츠 등,2/1/2018,12월,이상훈,http://www.getbarrel.com,서울특별시
SG,255220,기타 비금속 광물제품 제조업,"아스콘, 레미콘",1/26/2018,12월,박창호,http://sgholdings.co.kr,인천광역시
씨앤지하이테크,264660,특수 목적용 기계 제조업,"약액혼합공급장치, 화학약품재생장치",1/25/2018,12월,홍사문,http://www.cnghitech.com,경기도
쿠쿠홈시스,284740,개인 및 가정용품 임대업,"정수기, 공기청정기 등",1/11/2018,12월,구본학,"http://www,cuckoo.co.kr",경기도
SK케미칼,285130,합성고무 및 플라스틱 물질 제조업,"PETG 수지, PET 수지, 바이오디젤, 백신",1/5/2018,12월,"김철, 전광현",http://www.skchemicals.com,경기도
시스웍,269620,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","클린룸 제어시스템, BLDC모터, 공조장치 제어기 등",12/26/2017,12월,전상현,http://www.syswork.co.kr,대전광역시
라이프사이언스테크놀로지,285770,소프트웨어 개발 및 공급업,생체신호모듈 및 패치형 체온 측정시스템 등,12/21/2017,12월,김정환,http://www.lstgrp.com,서울특별시
디바이스이엔지,187870,특수 목적용 기계 제조업,OLED용 FM MASK 세정장비,12/20/2017,12월,"최봉진, 방인호 각자대표",http://www.deviceeng.co.kr,충청남도
바이오시네틱스,281310,자연과학 및 공학 연구개발업,"나노의약품 및 소재, 약물전달시스템(DDS)",12/15/2017,12월,김갑식,http://www.bio-synectics.com,서울특별시
씨알푸드,236030,"곡물가공품, 전분 및 전분제품 제조업","시리얼, 시리얼바",12/14/2017,12월,이상범,http://www.crfood.co.kr,충청북도
레이크머티리얼즈,281740,기타 화학제품 제조업,"LED, 반도체 소재 및 석유화학촉매",12/12/2017,12월,김진동,http://www.lake-led.com,세종특별자치시
BGF리테일,282330,종합 소매업,체인화 편의점,12/8/2017,12월,이건준,http://www.bgfretail.com,서울특별시
동양피스톤,092780,자동차용 엔진 및 자동차 제조업,자동차엔진용 피스톤,12/8/2017,12월,홍순겸,,경기도
진에어,272450,항공 여객 운송업,"여객, 화물 등 항공운송",12/8/2017,12월,최정호,http://www.jinair.com,서울특별시
씨티케이,260930,기타 화학제품 제조업,완제 화장품 (색조 및 기초),12/7/2017,12월,정인용,http://www.ctkcosmetics.com,서울특별시
메카로,241770,기타 화학제품 제조업,반도체용 전구체 및 히터블록,12/6/2017,12월,"이재정, 박영순 (각자대표)",http://www.mecaro.com,경기도
에스트래픽,234300,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","교통관련 솔루션 개발, 시스템통합 S/W 개발",12/5/2017,12월,문찬종,http://www.straffic.co.kr,경기도
케이씨텍,281820,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","반도체, 디스플레이 제조 장비",12/5/2017,12월,"양호근, 최동규 (각자 대표이사)",http://www.kctech.co.kr,경기도
체리부로,066360,"도축, 육류 가공 및 저장 처리업","육계, 사료",12/4/2017,12월,김인식,http://www.cherrybro.com,충청북도
대원,007680,건물 건설업,아파트 시행 및 시공,12/1/2017,12월,전응식,http://www.daewon.co.kr,충청북도
비즈니스온,138580,소프트웨어 개발 및 공급업,전자세금계산서 발행서비스(스마트빌),11/30/2017,12월,"라민상, 강민철, 이병두(공동대표이사)",http://www.businesson.co.kr,서울특별시
동아타이어,282690,고무제품 제조업,타이어 및 튜브,11/29/2017,12월,"김상헌,김인환",http://www.dongahtire.co.kr,경상남도
삼양패키징,272550,플라스틱제품 제조업,PET 용기 및 아셉틱 OEM,11/29/2017,12월,조덕희,http://www.samyangpackaging.co.kr/,서울특별시
스튜디오드래곤,253450,"영화, 비디오물, 방송프로그램 제작 및 배급업","드라마 제작, 판매",11/24/2017,12월,"Chul-Ku Kang, Young-Kyu Kim",http://www.studiodragon.net,서울특별시
비디아이,148140,일반 목적용 기계 제조업,"탈황설비, 전기집진기, 회처리 및 회정제설비",11/9/2017,12월,안승만,http://www.bdindustry.co.kr/,경기도
코오롱티슈진,950160,기초 의약물질 및 생물학적 제제 제조업,골관절염 치료제,11/6/2017,12월,"노문종, 한성수",http://tissuegene.com,미국
EMB,278990,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","태양광ESS,휴대폰 액세서리",10/31/2017,12월,홍지태,http://www.fineemtech.co.kr,경기도
테이팩스,055490,플라스틱제품 제조업,"OCA, 2차전지용 테이프, 산업용 랩 등",10/31/2017,12월,조연주,http://tapex.co.kr,경기도
롯데제과,280360,기타 식품 제조업,"껌,캔디,초코,비스켓,빙과",10/30/2017,12월,"신동빈, 이영구",http://www.lotteconf.co.kr/,서울특별시
탑선,180060,기타 전기장비 제조업,태양광 모듈,10/27/2017,12월,윤정택,http://topsun.kr,전라남도
영화테크,265560,자동차 신품 부품 제조업,자동차 정션박스 등,10/26/2017,12월,엄준형,http://www.yhtec.com,충청남도
세원,234100,자동차 신품 부품 제조업,자동차 공조장치 부품,10/20/2017,12월,조현우,http://www.sewonmfg.co.kr,경기도
상신전자,263810,전자부품 제조업,"노이즈필터(48.81%), 코일(19.33%), 리액터(10.75%)",10/16/2017,12월,김승천,http://www.sangshin-e.com,경상남도
야스,255440,특수 목적용 기계 제조업,"OLED 증착기, OLED 증착원",9/29/2017,12월,강경인,http://www.yasoled.com,경기도
인산가,277410,기타 식품 제조업,죽염 및 죽염응용식품,9/29/2017,12월,김윤세,http://www.insanga.co.kr,경상남도
휴온스블러썸,263920,그외 기타 제품 제조업,"화장용 스펀지, 퍼프",9/28/2017,12월,김진한,http://www.blossommnc.com,인천광역시
신흥에스이씨,243840,일차전지 및 축전지 제조업,"2차전지용 안전 부품(Cap Assembly, CID)",9/27/2017,12월,황만용,http://www.shsec.co.kr,경기도
유티아이,179900,전자부품 제조업,카메라 윈도우,9/27/2017,12월,박덕영,http://www.utikorea.com,충청남도
선익시스템,171090,특수 목적용 기계 제조업,OLED 증착장비,9/20/2017,12월,"박재규, 이영종",http://www.sunic.co.kr,경기도
엠플러스,259630,특수 목적용 기계 제조업,이차전지 자동화 조립설비,9/20/2017,12월,김종성,http://www.mplusi.co.kr,충청북도
앱클론,174900,의료용품 및 기타 의약 관련제품 제조업,항체의약품,9/18/2017,12월,이종서,http://www.abclon.com,서울특별시
샘코,263540,"항공기,우주선 및 부품 제조업",도어시스템,9/15/2017,12월,정기환,http://www.samcokorea.com,경상남도
펄어비스,263750,소프트웨어 개발 및 공급업,온라인게임 개발 서비스(검은사막),9/14/2017,12월,정경인,http://www.pearlabyss.com,경기도
이십일스토어,270020,기타 비금속 광물제품 제조업,"규석, 골재, 석재(조경석)",9/8/2017,12월,강두원,http://www.21stone.co.kr,강원도
케이피에스,256940,특수 목적용 기계 제조업,OLED 마스크 인장기,9/6/2017,12월,김하용,http://www.kpscorp.co.kr,경기도
시그넷이브이,260870,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",전기차 충전기,8/30/2017,12월,-,http://www.signetev.com,전라남도
덕우전자,263600,전자부품 제조업,카메라 모듈 부품,8/28/2017,12월,이준용,http://www.derkwoo.com,경상북도
명진홀딩스,267060,수산물 가공 및 저장 처리업,"연어 가공 식품(필렛, HMR)",8/24/2017,12월,정상익,http://www.salmonkorea.com,서울특별시
이더블유케이,258610,"구조용 금속제품, 탱크 및 증기발생기 제조업","지열발전설비(열수기화기, 응축기 등)",8/22/2017,12월,마이클권,http://www.ewkinc.co.kr/,부산광역시
지엔원에너지,270520,"건축기술, 엔지니어링 및 관련 기술 서비스업",지열냉난방시스템,8/22/2017,12월,최근화,http://genone.co.kr,경기도
알에스오토메이션,140670,전자부품 제조업,"모션제어기, 드라이브, 에너지제어장치",8/11/2017,12월,강덕현,http://www.rsautomation.co.kr,경기도
컬러레이,900310,기타 금융업,화장품용 진주광택안료,8/10/2017,12월,줘중비아오,http://www.coloray.co.kr,홍콩
와이즈버즈,273060,광고업,광고대행,8/7/2017,12월,김종원,http://www.wisebirds.co,서울특별시
모트렉스,118990,자동차 신품 부품 제조업,차량용 인포테인먼트,8/4/2017,12월,이형환,http://www.motrex.co.kr,경기도
데이타솔루션,263800,기계장비 및 관련 물품 도매업,"EMC스토리지, SPSS, SI",8/3/2017,12월,배복태,http://www.datasolution.kr,서울특별시
지니언스,263860,소프트웨어 개발 및 공급업,"네트워크 접근 제어 솔루션(NAC), 단말기반 지능형 위협 탐지 대응 솔루션(EDR)",8/2/2017,12월,이동범,http://www.genians.co.kr/,경기도
디앤씨미디어,263720,"서적, 잡지 및 기타 인쇄물 출판업",웹소설 콘텐츠,8/1/2017,12월,신현호,http://www.dncmedia.co.kr,서울특별시
셀트리온헬스케어,091990,기타 전문 도매업,바이오의약품 마케팅 및 판매,7/28/2017,12월,김형기,http://www.celltrionhealthcare.com/kr/index.do,인천광역시
이즈미디어,181340,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",카메라모듈테스터,7/26/2017,12월,명주성,http://www.ismedia.com,경기도
루켄테크놀러지스,162120,기타 전기장비 제조업,반도체 및 디스플레이 검사장비 및 검사부품,7/25/2017,12월,안윤태,http://www.luken.co.kr,경기도
힘스,238490,특수 목적용 기계 제조업,"OLED Mask 인장기, OLED Mask 검사기 등",7/20/2017,12월,김주환,http://www.hims.co.kr,인천광역시
제일약품,271980,의약품 제조업,의약품,7/17/2017,12월,성석제,http://www.jeilpharm.co.kr,서울특별시
브이원텍,251630,특수 목적용 기계 제조업,"LCD/OLED 압흔검사기, 2차전지 검사장비",7/13/2017,12월,김선중,http://www.v-one.co.kr,경기도
아우딘퓨쳐스,227610,기타 화학제품 제조업,"기초화장품, 마스크팩 등",7/12/2017,12월,최영욱,http://www.outinco.com,서울특별시
이녹스첨단소재,272290,전자부품 제조업,"FPCB소재, 반도체 및 디스플레이 소재",7/10/2017,12월,장경호(단독 대표이사),http://www.innoxamc.com,충청남도
카카오,035720,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",인터넷 서비스(인터넷 광고),7/10/2017,12월,"여민수, 조수용",http://www.kakaocorp.com,제주특별자치도
오리온,271560,기타 식품 제조업,스낵 등 과자류,7/7/2017,12월,이경재,http://www.orionworld.com,서울특별시
하림지주,003380,기타 금융업,지주사업,6/30/2017,12월,김홍국,http://www.harimholdings.co.kr,전라북도
덴티스,261200,의료용 기기 제조업,임플란트외,6/26/2017,12월,심기봉,http://www.dentis.co.kr,대구광역시
